"p_id";"p_ident";"p_number";"p_projet";"p_type";"p_titre";"p_type_com";"p_speaker_invite";"p_nom_conference";"p_date_debut_conference";"p_date_fin_conference";"p_ville_conference";"p_pays_conference";"p_lien_conference";"p_nom_journal";"p_publication_journal";"p_volume_journal";"p_pages_journal";"p_annee_publication";"p_doi";"p_url_bdd";"p_date_soumission";"p_date_notification";"p_date_soumission_finale";"p_nom_responsable";"p_liste_auteurs";"p_affiliation";"p_directeur_stage";"p_date_debut_stage";"p_date_fin_stage";"p_award";"p_date_soutenance_these";"p_composition_jury_these";"p_etablissement_delivrant_these";"p_directeur_these";"p_date_debut_these";"p_date_fin_these";"p_nom_meeting";"p_date_meeting";"p_auteur";"p_avec_abstract";"Statut";"p_actif";"pf_id";"pf_publication_id";"pf_type";"pf_version_of";"pf_file";"pf_abstract";"pf_titre";"pf_notes";"pf_postman";"pf_timestamp";"pf_actif"
"139";"S038-9";"9";"S038";"conference";"An FPGA-based Hybrid Neural Network accelerator for embedded satellite image classification";"";"";"International Symposium on Circuits and Systems (ISCAS 2020)";"17/05/2020";"20/05/2020";"Séville,";"Espagne";"https://iscas2020.org/";"";"";"";"";"";"";"";"";"";"";"";"Edgar Lemaire, Matthieu Moretti, Lionel Daniel, Benoît Miramond, Philippe Millet, Frédéric Férésin, Sébastien Bilavarn";"Thales Research & Technology, Université Côte d'Azur / LEAT / CNRS, IRT St Exupéry, Thales Alenia Space";"";"";"";"";"";"";"";"";"";"";"";"";"0000000829";"0";"Réalisé";"1";"88";"139";"doc_final";"0";"2021-12/1640088711-666-2020_10_10---ISCAS---Hybrid-Neural-Network-accelerator.pdf";"";"Papier";"";"0000000829";"1640088711";"1"
"160";"E042-7";"7";"E042";"conference";"ICIM-CPI : Integrated circuits immunity model: conducted pulse immunity";"";"";"EMC/APEMC 2018 (International Symposium on Electromagnetic Compatibility and Asia-Pacific Symposium on Electromagnetic Compatibility) Singapore";"01/05/2018";"01/05/2018";"Singapour";"";"";"EMC/APEMC 2018 (International Symposium on Electromagnetic Compatibility and Asia-Pacific Symposium on Electromagnetic Compatibility) Singapore";"";"";"";"";"";"";"";"";"";"";"A. Durier, P. Fernandez-Lopez, J.-L. Levant and C. Marot";"";"";"";"";"";"";"";"";"";"";"";"";"";"0000000821";"0";"Réalisé";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"NULL";"NULL";"NULL";"NULL"
"161";"E042-8";"8";"E042";"conference";"Modeling the internal activity of a FPGA for conducted emission prediction purpose";"";"";"EMC/APEMC 2018 (International Symposium on Electromagnetic Compatibility and Asia-Pacific Symposium on Electromagnetic Compatibility) Singapore";"01/05/2018";"01/05/2018";"Singapour";"";"";"";"";"";"";"";"";"";"";"";"";"";"C. Ghfiri, A. Durier, C. Marot, A. Boyer and S. Ben Dhia";"";"";"";"";"";"";"";"";"";"";"";"";"";"0000000821";"0";"Réalisé";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"NULL";"NULL";"NULL";"NULL"
"163";"E042-10";"10";"E042";"conference";"Creep measurement and choice of creep laws for BGA assemblies' reliability simulation";"";"";"ESREF 2018 (29th European Symposium on Reliability of Electron Devices, Failure Physics and Analysis)";"01/10/2018";"01/10/2018";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M. Zerarka and O. Crepel";"";"";"";"";"";"";"";"";"";"";"";"";"";"0000000821";"0";"Réalisé";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"NULL";"NULL";"NULL";"NULL"
"164";"E042-11";"11";"E042";"conference";"Simulation and modelling of long term reliability of digital circuits implemented in FPGA";"";"";"ESREF 2018 (29th European Symposium on Reliability of Electron Devices, Failure Physics and Analysis)";"01/10/2018";"01/10/2018";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J. D. Aguirre Morales, F. Marc, A. Bensoussan and A. Durier";"";"";"";"";"";"";"";"";"";"";"";"";"";"0000000821";"0";"Réalisé";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"NULL";"NULL";"NULL";"NULL"
"165";"E042-12";"12";"E042";"conference";"Efficient state of health estimation of Li-ion battery under several ageing types for aeronautic applications";"";"";"ESREF 2018 (29th European Symposium on Reliability of Electron Devices, Failure Physics and Analysis)";"01/10/2018";"01/10/2018";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Y. C. Zhang, O. Briat, J.-Y. Deletage, C. Martin, N. Chadourne and J.-M. Vinassa";"";"";"";"";"";"";"";"";"";"";"";"";"";"0000000821";"0";"Réalisé";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"";"NULL";"NULL";"NULL";"NULL";"NULL"
"190";"M008-1";"1";"M008";"conference";"Composites à matrice céramique industriels et commerciaux pour le chemisage d’alvéole de stockage de déchets radioactifs";"";"";"JNC22";"28/06/2021";"30/06/2021";"N/A : Virtuelle";"France";"JNC 22 - 22es Journées Nationales sur les Composites - Sciencesconf.org";"";"";"";"";"";"";"";"29/01/2021";"01/05/2021";"01/06/2021";"";"E. PERRET(1); M. BOX(1); F. REBILLAT(2); G.L. VIGNOLES(2); N. TEXIER-MANDOKI(3)";"1 - IRT SAINT EXUPERY // 2 - LCTS // 3 - ANDRA";"";"";"";"non";"";"";"";"";"";"";"";"";"0000000755";"1";"Réalisé";"1";"301";"190";"doc_publie";"0";"2023-01/1674651389-474-JNC22APU.pdf";"2022-01/1642091564-272-JNC22_PERRET-IRT_StExupery_ResumeV8.docx";"";"";"0000000755";"1674651389";"1"
"199";"U002-1";"1";"U002";"conference";"A data-driven scalable MDO problem to compare MDO formulations";"";"";"AIAA Aviation Forum";"02/08/2021";"06/08/2021";"Virtuel";"";"";"";"";"";"";"";"";"";"";"";"";"";"Matthias De Lozzo; François Gallard; Anne Gazaix; Mohammad Abu-Zurayk; Caslav Ilic; Gilbert Roge; Gabriel Fougeron ";"Matthias De Lozzo / IRT Saint Exupéry- François Gallard / IRT Saint Exupéry -Anne Gazaix / Airbus Operation SAS -Mohammad Abu-Zurayk / DLR - Caslav Ilic / DLR - Gilbert Roge / Dassault Aviation - Gabriel Fougeron / ESI Group";"";"";"";"";"";"";"";"";"";"";"";"";"0000000472";"0";"Réalisé";"1";"100";"199";"doc_final";"0";"2022-01/1642426257-580-6.2021-3053.pdf";"";"";"";"0000000472";"1642426257";"1"
"200";"U002-2";"2";"U002";"conference";"Comparing Two Multidisciplinary Optimization Formulations of Trimmed Aircraft Subject to Industry-relevant Loads and Constraints";"";"";"AIAA Aviation Forum";"02/08/2021";"06/08/2021";"Virtuel";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mohammad Abu-Zurayk; Andrei Merle; Caslav Ilic ; Matthias Schulze; Jannik Häßy; Matthias De Lozzo; François Gallard; Anne Gazaix ";"Mohammad Abu-Zurayk / DLR - Andrei Merle / DLR - Caslav Ilic / DLR- Matthias Schulze / DLR -Jannik Häßy / DLR -Matthias De Lozzo / IRT Saint Exupéry -François Gallard / IRT Saint Exupéry -Anne Gazaix / IRT Saint Exupéry, Airbus Operation SAS";"";"";"";"";"";"";"";"";"";"";"";"";"0000000472";"0";"Réalisé";"1";"101";"200";"doc_final";"0";"2022-01/1642426445-396-6.2021-3075.pdf";"";"";"";"0000000472";"1642426445";"1"
"201";"U002-3";"3";"U002";"conference";"Multidisciplinary Adjoint-based Optimizations in the MADELEINE Project: Overview and Main Results";"";"";"AIAA Aviation Forum";"02/08/2021";"06/08/2021";"Virtuel";"";"";"";"";"";"";"";"";"";"";"";"";"";"Michaël Méheut on behalf of the MADELEINE consortium / ONERA";"Michaël Méheut on behalf of the MADELEINE consortium / ONERA";"";"";"";"";"";"";"";"";"";"";"";"";"0000000472";"0";"Réalisé";"1";"102";"201";"doc_final";"0";"2022-01/1642426633-846-6.2021-3052.pdf";"";"";"";"0000000472";"1642426633";"1"
