"p_id";"p_ident";"p_number";"p_projet";"p_type";"p_titre";"p_type_com";"p_speaker_invite";"p_nom_conference";"p_date_debut_conference";"p_date_fin_conference";"p_ville_conference";"p_pays_conference";"p_lien_conference";"p_nom_journal";"p_publication_journal";"p_volume_journal";"p_pages_journal";"p_annee_publication";"p_doi";"p_url_bdd";"p_date_soumission";"p_date_notification";"p_date_soumission_finale";"p_nom_responsable";"p_liste_auteurs";"p_affiliation";"p_directeur_stage";"p_date_debut_stage";"p_date_fin_stage";"p_award";"p_date_soutenance_these";"p_composition_jury_these";"p_etablissement_delivrant_these";"p_directeur_these";"p_date_debut_these";"p_date_fin_these";"p_nom_meeting";"p_date_meeting";"p_auteur";"p_avec_abstract";"Statut";"p_actif";"pf_id";"pf_publication_id";"pf_type";"pf_version_of";"pf_file";"pf_abstract";"pf_titre";"pf_notes";"pf_postman";"pf_timestamp";"pf_actif"
"424";"S005-3";"3";"S005";"communication";"Interference Analysis using the PHYLOG Modeling Language: an Industrial Case Study";;;"SAFECOMP 2023 (42nd International  Conference on Computer Safety, Reliability and Security)";"19/09/2023";"22/09/2023";"Toulouse";"France";"https://safecomp2023.cnrs.fr/";;;;;;;;"13/06/2023";"22/04/2023";"01/06/2023";;"Guillaume Brau, Eric Jenn, Kevin Delmas, Frédéric Boniol and Emmanuel Courty";"IRT, IRT, ONERA, ONERA, LIEBHERR";;;;;;;;;;;;;"0000000084";"1";"Refusé";"1";"313";"424";"abstract";"0";;"2023-02/1676459360-852-SAFECOMP2023.pdf";"Interference Analysis using the PHYLOG Modeling Language: an Industrial Case Study";;"0000000084";"1676459360";"1"
"425";"M015-2";"2";"M015";"communication";"Understanding the transfer between pulsed lasers for surface preparation";;;"AB2023";"13/07/2023";"14/07/2023";"Porto";"Portugal";"https://web.fe.up.pt/~ab2023/";;;;;;;;"03/03/2023";;;;"S Kirchner, J Lecomte, L Ferres, T Balutch, C Debras, M Péron, N Cuvillier";"1IRT Saint Exupéry, Esplanade des Arts et Métiers, 33405 Talence, France. 2Naval Group 3Thales Alenia Space, 5 allée des Gabians, 06156 Cannes La Bocca, France 4ArianeGroup, Les cinq chemins, rue du Touban, 33185 Le Haillan, France. 5Safran Composites, 33";;;;;;;;;;;;;"0000000381";"1";"Réalisé";"1";"548";"425";"doc_publie";"0";"2023-07/1690284144-441-AB2023_KIRCHNER.pdf";"2023-02/1676540290-274-AB2023_abstract_Kirchner_v0.doc";;;"0000000217";"1690284144";"1"
"426";"M015-3";"3";"M015";"communication";"Effect of coupled parameters on the robustness of laser surface preparation process";;;"14th European Adhesion Conference (EURADH)";"10/09/2023";"13/09/2023";"Garmisch-Partenkirchen";"Allemagne";"https://dechema.de/en/euradh_wcarp_2023.html";;;;;;;;"31/01/2023";;;;"Sara Kirchner, IRT Saint Exupéry, Talence/France  Julie Lecomte, IRT Saint Exupéry, Talence/France Laurent Ferres, IRT Saint Exupéry, Talence/France Colin Debras, Thales Alenia Space, Cannes/France Maxime Péron, ArianeGroup, Le Haillan/France Nicolas Cuvi";"Sara Kirchner, IRT Saint Exupéry, Talence/France  Julie Lecomte, IRT Saint Exupéry, Talence/France Laurent Ferres, IRT Saint Exupéry, Talence/France Colin Debras, Thales Alenia Space, Cannes/France Maxime Péron, ArianeGroup, Le Haillan/France Nicolas Cuvi";;;;;;;;;;;;;"0000000381";"1";"Réalisé";"1";"745";"426";"doc_publie";"0";"2024-01/1706102660-908-EURADH_43499_KIRCHNER.pdf";"2023-02/1676544479-287-EURADH_abstract_v1.pdf";;;"0000000217";"1706102660";"1"
"428";"E034-2";"2";"E034";"communication";"A Townsend’s secondary ionization coefficient  estimation method for partial discharge inception  voltage prediction for insulating polymers";;;"2022 IEEE 4th International Conference on Dielectrics (ICD)";"03/07/2022";"07/07/2022";"Palerme";"Italie";"https://ieeexplore.ieee.org/xpl/conhome/9863422/proceeding";;;;;;;;;;;;"Y. Kemari; C. Van de Steen; G. Belijar; L. Laudebat; S. Diaham; Z. Valdez-Nava; C. Abadie";"IRT Antoine de Saint Exupéry, 3 Rue Tarfaya, Toulouse cedex 4, France LAPLACE (Laboratoire Plasma et Conversion d’Énergie, Université de Toulouse, CNRS; Bat 3R3, 118 route de Narbonne, Toulouse cedex 9, France";;;;;;;;;;;;;"0000001176";"1";"Réalisé";"1";"889";"428";"doc_final";"0";"2024-07/1720703265-403-A-Townsend...s-secondary-ionization-coefficient-estimation-method-for-partial-discharge-inception-voltage-prediction-for-insulating-polymers.pdf";"2023-02/1676642164-122-Kemari2022---A-Townsend.s-Secondary-Ionization-Coefficient-Estimation-Method-for-Partial-Discharge-Inception-Voltage-Prediction-for-Insulating-Polymers.pdf";;;"0000000383";"1720703265";"1"
"433";"E002-1";"1";"E002";"communication";"Novel 2?MPL (two-phase mechanically pumped loop ) cooling circuit evaporator design for highly dissipative space electronic";;;"IMAPS THERMAL 2023";"08/03/2023";"09/03/2023";"POITIERS";"France";"https://france.imapseurope.org/event/thermal-2023/";;;;;;;;"21/11/2022";;"06/03/2023";;"Benjamin LAGIER, Frédéric BOUDESSEUL, Laure BAERT";;;;;"non";;;;;;;;;"0000001271";"1";"Réalisé";"1";"473";"433";"doc_publie";"0";"2023-04/1680517997-558-IMAPS-THERMAL-2023-SOCOOL2.pdf";"2023-02/1676908577-514-IMAPS-THERMAL-2023-SOCOOL2.pdf";;;"0000001224";"1680517997";"1"
"434";"M015-4";"4";"M015";"communication";"Élimination des contaminations de surface avant collage par préparation de surface laser";;;"JADH2022";"21/09/2022";"23/09/2022";"La Turballe";"France";"https://www.jadh-sfa.fr/";;;;;;;;"30/04/2022";"02/06/2022";;;"S. Kirchner1, J. Lecomte1, L. Ferres1, C. Debras1,2, M. Péron1,3, N. Cuvillier1,4";"1 IRT Saint Exupéry, Esplanade des Arts et Métiers, 33405 Talence, France.  2 Thales Alenia Space, 5 Allée des Gabians, 06156 Cannes La Bocca, France. 3ArianeGroup, Les cinq chemins Rue du Touban, 33185 Le Haillan, France.  4 Safran Composites, 33 Avenue ";;;;"non";;;;;;;;;"0000000381";"1";"Réalisé";"1";"335";"434";"doc_publie";"0";"2023-02/1676978549-400-JADH2022_V0.pdf";"2023-02/1676978307-602-JADH2022_Abstract_V2.docx";;;"0000000217";"1676978549";"1"
"474";"E039-19";"19";"E039";"communication";"Modeling and Design of High Bandwidth Feedback Loop for dv/dt Control in CMOS AGD for GaN";;;"EE 2020 32nd International Symposium on Power Semiconductor Devices and ICs (ISPSD)";;;;;;;;;;;;;;;"26/02/2020";;"Bau, Plinio; Cousineau, Marc; Cougo, Bernardo; Richardeau, Frédéric; Rouger, Nicolas";"IRT Saint-Exupéry, LAPLACE";;;;;;;;;;;;;"0000000046";"0";"Réalisé";"1";NULL;NULL;NULL;NULL;NULL;;NULL;NULL;NULL;NULL;NULL
"476";"E039-21";"21";"E039";"communication";"Modeling of Common-Mode Voltage Source for Multilevel Inverter Topologies";;;" 2020 International Symposium on Electromagnetic Compatibility ";;;;;;;;;;;;;;;"26/02/2020";;"Sathler, Hans H; Cougo, Bernardo; Carayon, Jean-Pierre; Costa, François; Labrousse, Denis";"IRT Saint-Exupéry, SATIE";;;;;;;;;;;;;"0000000046";"0";"Réalisé";"1";NULL;NULL;NULL;NULL;NULL;;NULL;NULL;NULL;NULL;NULL
"478";"E039-23";"23";"E039";"communication";"Sub-Nanosecond Delay CMOS Active Gate Driver for Closed-Loop dv/dt Control of GaN Transistors";;;"IEEE International Symposium on Power Semiconductor Devices and ICs - ISPSD";;;;;;;;;;;;;;;"26/02/2019";;"P. Bau, M. Cousineau, B. Cougo, F. Richardeau, S. Vinnac, D. Flumian, N. Rouger";"IRT Saint-Exupéry, LAPLACE";;;;;;;;;;;;;"0000000046";"0";"Réalisé";"1";NULL;NULL;NULL;NULL;NULL;;NULL;NULL;NULL;NULL;NULL
"490";"A064-1";"1";"A064";"communication";"Mesure de transitoire rapide de température de jonction de transistors SiC pour évaluation de la duré de vie des modules de puissance dans les onduleurs triphasés";;;"SYMPOSIUM DE GENIE ELECTRIQUE (SGE 2023)";"05/07/2023";"07/07/2023";"Lille";"France";"https://sge2023.sciencesconf.org/";;;;;;;;"15/01/2023";;"02/05/2023";;"Bernardo COUGO, Gilles SEGOND, Alice TEIXEIRA, Lenin M. F. MORAIS, Marco ANDRADE, Duc Hoan TRAN";"IRT Saint Exupéry, Toulouse, France ; Universidade Federal de Minas Gerais, Belo Horizonte, Brésil";;;;;;;;;;;;;"0000000046";"0";"Réalisé";"1";"537";"490";"doc_final";"0";"2023-07/1689951217-775-449045EvaluationPreciseDeLaTemperatureDeJonctionDesTransistorsSicEnDynamiquePourLestimationDeLaDureeDeVieDesModulesDePuissanceUtilisesDansLesOnduleursTriphases.pdf";;"Evaluation précise de la température de jonction des transistors SiC en dynamique pour l’estimation de la durée de vie des modules de puissance utilisés dans les onduleurs triphasés";;"0000000046";"1689951217";"1"
